Campaign name,Subject,Sent,Opened,Clicked,Created time,Sent time,Sender name,Delivered,Unopened,Bounced,Unsubscribes,Forwards,Marked as spam,Click rate,Open rate,Unsubscribe percentage,Bounced percentage,Click per open ratio
You're Invited: Exclusive Comedy Night with Ashish Solanki - (V-A List) ,SNS & Checkpoint Invite You to Exclusive Comedy with Aashish Solanki on 30th August,2,2,1,"Aug 22, 2024 06:14 PM","Aug 22, 2024 06:17 PM",Vivek,2,0,0,0,0,0,50,100,0,0,50
You're Invited: Exclusive Comedy Night with Ashish Solanki - (V-A List) ,SNS & Checkpoint Invite You to Exclusive Comedy with Aashish Solanki on 30th August,50,22,5,"Aug 22, 2024 06:19 PM","Aug 22, 2024 06:48 PM",Vivek,49,27,1,0,0,0,10.2,44.9,0,2,22.7
You're Invited: Exclusive Comedy Night with Ashish Solanki - (V-A List) ,SNS & Checkpoint Invite You to Exclusive Comedy with Aashish Solanki on 30th August,2,2,1,"Aug 23, 2024 10:52 AM","Aug 23, 2024 10:54 AM",Vivek,2,0,0,0,0,0,50,100,0,0,50
You're Invited: Exclusive Comedy Night with Ashish Solanki - (V-A List) ,SNS & Checkpoint Invite You to Exclusive Comedy with Aashish Solanki on 30th August,2,2,1,"Aug 23, 2024 12:23 PM","Aug 23, 2024 12:33 PM",Vivek,2,0,0,0,0,0,50,100,0,0,50
You're Invited: Exclusive Comedy Night with Ashish Solanki - (V-A List) ,"SNS & Checkpoint Invite: Exclusive Comedy with Aashish Solanki, Aug 30th!",29,2,1,"Aug 26, 2024 10:26 AM","Aug 26, 2024 10:27 AM",Vivek,28,26,1,0,0,0,3.6,7.1,0,3.4,50
DLP |  27-08-24,Is Your Data Vulnerable to Cyber Threats ?,4,4,0,"Aug 27, 2024 10:04 AM","Aug 27, 2024 11:53 AM",Anita,4,0,0,0,0,0,0,100,0,0,0
"Trellix DLP | M 2 |  Scheduled On 20 Aug,  2024 | External - Test",Prevent Data Loss: Secure Endpoints with Trellix DLP,1,1,0,"Aug 27, 2024 10:41 AM","Aug 27, 2024 10:45 AM",Anita,1,0,0,0,0,0,0,100,0,0,0
"Trellix DLP | M 2 |  Scheduled On 20 Aug,  2024 | External - Test3",Prevent Data Loss: Secure Endpoints with Trellix DLP,4,4,0,"Aug 27, 2024 11:18 AM","Aug 27, 2024 11:25 AM",Anita,4,0,0,0,0,0,0,100,0,0,0
DLP |  27-08-24 | Test ,Is Your Data Vulnerable to Cyber Threats ?,3064,384,16,"Aug 27, 2024 12:40 PM","Aug 27, 2024 02:07 PM",Anita,3008,2624,56,1,0,0,0.5,12.8,0,1.8,4.2
DLP |  27-08-24 | Test ,Is Your Data Vulnerable to Cyber Threats ?,40,22,0,"Aug 27, 2024 12:45 PM","Aug 27, 2024 02:00 PM",Anita,40,18,0,0,0,0,0,55,0,0,0
You're Invited: Exclusive Comedy Night with Ashish Solanki - (V-A List) ,"SNS & Checkpoint Invite: Don’t Miss the Comedy Night with Aashish Solanki, Aug 30th",27,0,0,"Aug 27, 2024 04:44 PM","Aug 27, 2024 04:50 PM",Vivek,26,26,1,0,0,0,0,0,0,3.7,0
DLP |  27-08-24 | Test ,Ready to Secure Your Data? Let’s Get Started,16,6,6,"Aug 28, 2024 04:38 PM","Aug 28, 2024 04:49 PM",Anita,16,10,0,0,0,0,37.5,37.5,0,0,100
Confirmation Mail - CheckPoint Event - Delhi,"Confirmation: SNS and Check Point  Event - Aug 30, 2024",35,19,4,"Aug 28, 2024 05:34 PM","Aug 28, 2024 06:53 PM",Vivek,34,15,1,0,0,0,11.8,55.9,0,2.9,21.1
Confirmation Mail - CheckPoint Event - Delhi +3,"Confirmation: SNS and Check Point  Event - Aug 30, 2024 ( Today )",22,13,3,"Aug 30, 2024 11:01 AM","Aug 30, 2024 11:18 AM",Vivek,22,9,0,0,0,0,13.6,59.1,0,0,23.1
Confirmation Mail - CheckPoint Event - Delhi +2 ,"Reminder: SNS and Check Point Event - Today, Aug 30, 2024 (Your Registration is Confirmed)",2,0,0,"Aug 30, 2024 11:30 AM","Aug 30, 2024 11:35 AM",Vivek,2,2,0,0,0,0,0,0,0,0,0
Confirmation Mail - CheckPoint Event - Delhi + All,"Reminder: SNS and Check Point Event - Today, Aug 30, 2024 (Your Registration is Confirmed)",58,34,0,"Aug 30, 2024 11:38 AM","Aug 30, 2024 11:53 AM",Vivek,57,23,1,0,0,0,0,59.6,0,1.7,0
Confirmation Mail - CheckPoint Event - Delhi + All+2,"Reminder: SNS and Check Point Event - Today, Aug 30, 2024 (Your Registration is Confirmed)",58,30,0,"Aug 30, 2024 11:53 AM","Aug 30, 2024 05:00 PM",Vivek,57,27,1,0,0,0,0,52.6,0,1.7,0
Confirmation Mail - CheckPoint Event - Delhi +2 ,"Confirmation: SNS and Check Point  Event - Aug 30, 2024",2,2,1,"Aug 29, 2024 11:43 AM","Aug 29, 2024 11:48 AM",Vivek,2,0,0,0,0,0,50,100,0,0,50
Regret Mail - CheckPoint Event - Delhi + 6 Ids,Regret: SNS & CP Event Today Participation Not Confirmed,1,0,0,"Aug 30, 2024 12:34 PM","Aug 30, 2024 12:40 PM",Vivek,1,1,0,0,0,0,0,0,0,0,0
Sep_Emailer 2 - Forcepoint DSPM : 02_Sep_2024,Data Security with Forcepoint DSPM,40,15,1,"Sep 02, 2024 04:18 PM","Sep 03, 2024 10:00 AM",Anita,40,25,0,0,0,0,2.5,37.5,0,0,6.7
Sep_Emailer 2 - Forcepoint DSPM : 02_Sep_2024,Data Security with Forcepoint DSPM,3446,451,27,"Sep 03, 2024 10:21 AM","Sep 03, 2024 05:25 PM",Anita,3325,2874,121,4,0,0,0.8,13.6,0.1,3.5,6
